|match_id|player|possession_team|shot_end_location|possession_team_id|location|minute|location_x|location_y|z|x|y|match|competition_stage|score
147|7585|Eric Dier|England|[120.0, 36.4, 0.4]|768.0|[109.0, 41.0]|127.0|109.0|41.0|120.0|36.4|0.4|Colombia vs England|Round of 16|1-1
148|7586|Emil Peter Forsberg|Sweden|[120.0, 37.6, 2.2]|790.0|[101.0, 42.0]|65.0|101.0|42.0|120.0|37.6|2.2|Sweden vs Switzerland|Round of 16|1-0
149|8656|Kieran Trippier|England|[120.0, 43.4, 2.3]|768.0|[96.0, 43.0]|4.0|96.0|43.0|120.0|43.4|2.3|Croatia vs England|Semi-finals|2-1
150|8656|Ivan Perišić|Croatia|[120.0, 36.4, 0.4]|785.0|[114.0, 40.0]|67.0|114.0|40.0|120.0|36.4|0.4|Croatia vs England|Semi-finals|2-1
151|8656|Mario Mandžukić|Croatia|[119.0, 42.0, 0.5]|785.0|[114.0, 33.0]|108.0|114.0|33.0|119.0|42.0|0.5|Croatia vs England|Semi-finals|2-1
152|8651|Harry Maguire|England|[120.0, 37.6, 0.1]|768.0|[110.0, 44.0]|29.0|110.0|44.0|120.0|37.6|0.1|Sweden vs England|Quarter-finals|0-2
153|8651|Bamidele Alli|England|[119.0, 38.7, 1.9]|768.0|[116.0, 32.0]|58.0|116.0|32.0|119.0|38.7|1.9|Sweden vs England|Quarter-finals|0-2
154|7567|Young-Gwon Kim|South Korea|[120.0, 42.6, 0.9]|791.0|[115.0, 42.0]|91.0|115.0|42.0|120.0|42.6|0.9|South Korea vs Germany|Group Stage|2-0
155|7567|Heung-Min Son|South Korea|[120.0, 44.0, 0.4]|791.0|[116.0, 32.0]|95.0|116.0|32.0|120.0|44.0|0.4|South Korea vs Germany|Group Stage|2-0
156|7541|Shinji Kagawa|Japan|[119.0, 41.5, 0.3]|778.0|[108.0, 40.0]|5.0|108.0|40.0|119.0|41.5|0.3|Colombia vs Japan|Group Stage|1-2
157|7541|Juan Fernando Quintero Paniagua|Colombia|[120.0, 44.0, 0.1]|769.0|[100.0, 60.0]|38.0|100.0|60.0|120.0|44.0|0.1|Colombia vs Japan|Group Stage|1-2
158|7541|Yūya Ōsako|Japan|[119.0, 44.0, 1.2]|778.0|[117.0, 39.0]|72.0|117.0|39.0|119.0|44.0|1.2|Colombia vs Japan|Group Stage|1-2
159|8655|Samuel Yves Umtiti|France|[120.0, 43.6, 1.8]|771.0|[118.0, 47.0]|50.0|118.0|47.0|120.0|43.6|1.8|France vs Belgium|Semi-finals|1-0
160|8657|Thomas Meunier|Belgium|[120.0, 41.9, 0.4]|782.0|[113.0, 41.0]|3.0|113.0|41.0|120.0|41.9|0.4|Belgium vs England|3rd Place Final|2-0
161|8657|Eden Hazard|Belgium|[120.0, 36.6, 0.8]|782.0|[112.0, 35.0]|81.0|112.0|35.0|120.0|36.6|0.8|Belgium vs England|3rd Place Final|2-0
162|7540|Denis Cheryshev|Russia|[120.0, 42.4, 0.4]|796.0|[111.0, 47.0]|58.0|111.0|47.0|120.0|42.4|0.4|Russia vs Egypt|Group Stage|3-1
163|7540|Artem Dzyuba|Russia|[119.0, 44.0, 0.5]|796.0|[108.0, 44.0]|61.0|108.0|44.0|119.0|44.0|0.5|Russia vs Egypt|Group Stage|3-1
164|7540|Mohamed Salah|Egypt|[120.0, 43.4, 2.4]|774.0|[108.0, 40.0]|72.0|108.0|40.0|120.0|43.4|2.4|Russia vs Egypt|Group Stage|3-1
165|8652|Denis Cheryshev|Russia|[119.0, 36.4, 2.3]|796.0|[94.0, 34.0]|30.0|94.0|34.0|119.0|36.4|2.3|Russia vs Croatia|Quarter-finals|2-2
166|8652|Andrej Kramarić|Croatia|[120.0, 42.2, 0.6]|785.0|[113.0, 38.0]|38.0|113.0|38.0|120.0|42.2|0.6|Russia vs Croatia|Quarter-finals|2-2
167|8652|Domagoj Vida|Croatia|[120.0, 44.0, 0.9]|785.0|[110.0, 40.0]|100.0|110.0|40.0|120.0|44.0|0.9|Russia vs Croatia|Quarter-finals|2-2
168|8652|Mário Figueira Fernandes|Russia|[120.0, 36.2, 0.7]|796.0|[114.0, 41.0]|114.0|114.0|41.0|120.0|36.2|0.7|Russia vs Croatia|Quarter-finals|2-2
169|8652|Marcelo Brozović|Croatia|[120.0, 43.6, 1.7]|785.0|[109.0, 41.0]|121.0|109.0|41.0|120.0|43.6|1.7|Russia vs Croatia|Quarter-finals|2-2
170|8652|Alan Dzagoev|Russia|[120.0, 43.2, 0.4]|796.0|[109.0, 41.0]|122.0|109.0|41.0|120.0|43.2|0.4|Russia vs Croatia|Quarter-finals|2-2
171|8652|Luka Modrić|Croatia|[119.0, 37.6, 0.2]|785.0|[109.0, 41.0]|125.0|109.0|41.0|119.0|37.6|0.2|Russia vs Croatia|Quarter-finals|2-2
172|8652|Sergei Ignashevich|Russia|[120.0, 37.0, 0.7]|796.0|[109.0, 41.0]|125.0|109.0|41.0|120.0|37.0|0.7|Russia vs Croatia|Quarter-finals|2-2
173|8652|Domagoj Vida|Croatia|[120.0, 36.6, 1.6]|785.0|[109.0, 41.0]|126.0|109.0|41.0|120.0|36.6|1.6|Russia vs Croatia|Quarter-finals|2-2
174|8652|Daler Kuzyaev|Russia|[120.0, 36.2, 0.4]|796.0|[109.0, 41.0]|127.0|109.0|41.0|120.0|36.2|0.4|Russia vs Croatia|Quarter-finals|2-2
175|8652|Ivan Rakitić|Croatia|[120.0, 36.6, 0.4]|785.0|[109.0, 41.0]|127.0|109.0|41.0|120.0|36.6|0.4|Russia vs Croatia|Quarter-finals|2-2
176|7556|Sadio Mané|Senegal|[120.0, 36.4, 1.6]|787.0|[116.0, 38.0]|10.0|116.0|38.0|120.0|36.4|1.6|Japan vs Senegal|Group Stage|2-2
177|7556|Takashi Inui|Japan|[120.0, 44.0, 1.6]|778.0|[108.0, 29.0]|33.0|108.0|29.0|120.0|44.0|1.6|Japan vs Senegal|Group Stage|2-2
178|7556|Moussa Wagué|Senegal|[120.0, 40.3, 2.3]|787.0|[114.0, 52.0]|70.0|114.0|52.0|120.0|40.3|2.3|Japan vs Senegal|Group Stage|2-2
179|7556|Keisuke Honda|Japan|[120.0, 43.8, 1.6]|778.0|[113.0, 43.0]|77.0|113.0|43.0|120.0|43.8|1.6|Japan vs Senegal|Group Stage|2-2
180|7559|Mohamed Salah|Egypt|[120.0, 38.9, 1.7]|774.0|[101.0, 48.0]|21.0|101.0|48.0|120.0|38.9|1.7|Saudi Arabia vs Egypt|Group Stage|2-1
181|7559|Salman Mohammed Al Faraj|Saudi Arabia|[120.0, 37.4, 2.3]|799.0|[108.0, 40.0]|50.0|108.0|40.0|120.0|37.4|2.3|Saudi Arabia vs Egypt|Group Stage|2-1
182|7559|Salem Mohammed Al Dawsari|Saudi Arabia|[120.0, 36.4, 0.4]|799.0|[116.0, 53.0]|94.0|116.0|53.0|120.0|36.4|0.4|Saudi Arabia vs Egypt|Group Stage|2-1
183|7577||||||||||||Morocco vs Iran|Group Stage|0-1
184|7563||||||||||||Denmark vs France|Group Stage|0-0
